Turning Movement Count,
15 Minute Counts,
DATE,TIME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR
11/16/2025,="0000",1,4,2,3,0,1,4,0,6,3,0,1,8,
11/16/2025,="0015",1,1,3,1,1,0,1,0,5,1,0,1,15,
11/16/2025,="0030",1,4,1,1,0,0,5,0,2,3,0,1,18,
11/16/2025,="0045",1,4,1,4,0,0,1,1,9,1,0,1,7,
11/16/2025,="0100",1,2,3,0,0,0,4,0,4,0,0,2,2,
11/16/2025,="0115",1,1,3,0,0,0,2,0,2,2,0,1,11,
11/16/2025,="0130",1,1,0,2,0,1,5,0,1,0,0,0,6,
11/16/2025,="0145",1,2,2,0,1,0,0,0,3,0,0,0,6,
11/16/2025,="0200",1,1,0,1,0,0,1,0,3,0,0,0,11,
11/16/2025,="0215",1,0,2,3,0,0,0,0,3,0,0,0,1,
11/16/2025,="0230",1,1,0,0,0,0,1,0,1,1,0,1,2,
11/16/2025,="0245",1,2,1,0,0,0,1,0,0,0,0,0,4,
11/16/2025,="0300",1,1,0,0,0,1,0,0,0,0,0,0,1,
11/16/2025,="0315",1,0,0,1,0,0,2,0,1,0,0,0,7,
11/16/2025,="0330",1,1,1,0,0,0,0,0,2,0,0,1,9,
11/16/2025,="0345",1,0,0,0,0,0,0,0,0,0,0,1,1,
11/16/2025,="0400",1,2,0,2,0,0,0,0,1,2,0,0,3,
11/16/2025,="0415",1,0,0,0,0,0,0,0,0,0,0,0,6,
11/16/2025,="0430",1,1,1,1,0,0,1,0,4,1,0,3,8,
11/16/2025,="0445",1,1,0,2,0,0,0,0,2,1,0,0,8,
11/16/2025,="0500",1,1,1,3,0,0,1,0,0,0,0,11,6,
11/16/2025,="0515",1,4,1,3,0,0,3,0,4,1,0,9,7,
11/16/2025,="0530",1,1,0,3,1,0,3,0,5,0,0,8,14,
11/16/2025,="0545",1,1,1,2,0,0,1,0,4,1,0,28,21,
11/16/2025,="0600",1,1,1,2,0,1,5,0,8,4,1,25,14,
11/16/2025,="0615",1,0,1,3,0,0,1,0,10,1,0,29,14,
11/16/2025,="0630",1,4,0,2,0,0,1,0,8,6,0,28,6,
11/16/2025,="0645",1,2,4,1,0,1,2,0,13,0,0,24,20,
11/16/2025,="0700",1,6,5,4,3,0,1,0,20,1,0,14,18,
11/16/2025,="0715",1,22,2,27,1,0,2,2,11,6,0,23,18,
11/16/2025,="0730",1,15,5,50,1,1,0,0,26,9,0,29,21,
11/16/2025,="0745",1,13,7,28,1,0,1,0,45,5,0,37,24,
11/16/2025,="0800",1,13,12,21,2,1,1,0,49,2,0,25,42,
11/16/2025,="0815",1,20,17,30,5,2,5,1,50,4,0,25,53,
11/16/2025,="0830",1,33,12,39,6,2,0,0,72,4,0,32,53,
11/16/2025,="0845",1,44,11,31,6,3,1,0,86,1,0,29,66,
11/16/2025,="0900",1,35,13,35,6,0,1,0,89,3,0,36,33,
11/16/2025,="0915",1,25,17,25,5,2,1,0,86,7,0,61,54,
11/16/2025,="0930",1,38,20,29,2,9,0,0,102,1,0,48,50,
11/16/2025,="0945",1,41,28,28,23,4,1,0,36,5,0,37,64,
11/16/2025,="1000",1,44,23,20,3,8,2,2,41,5,0,68,50,
11/16/2025,="1015",1,50,23,21,5,2,3,1,41,9,0,43,46,
11/16/2025,="1030",1,47,18,20,4,2,2,0,62,13,0,56,51,
11/16/2025,="1045",1,34,15,18,3,5,0,0,44,11,1,61,57,
11/16/2025,="1100",1,41,13,13,6,2,0,1,61,6,0,49,64,
11/16/2025,="1115",1,45,20,16,22,14,3,1,48,13,0,58,77,
11/16/2025,="1130",1,39,22,16,9,7,0,5,57,13,0,87,49,
11/16/2025,="1145",1,43,26,9,11,6,6,1,60,22,0,80,67,
11/16/2025,="1200",1,42,26,17,9,5,4,4,44,15,0,96,49,
11/16/2025,="1215",1,38,25,13,6,2,1,1,54,15,1,62,58,
11/16/2025,="1230",1,26,28,13,13,10,4,3,62,25,4,85,58,
11/16/2025,="1245",1,44,21,19,32,8,0,3,60,19,1,97,51,
11/16/2025,="1300",1,39,11,9,22,16,4,1,50,17,3,61,69,
11/16/2025,="1315",1,31,20,13,4,8,1,2,38,17,1,103,47,
11/16/2025,="1330",1,44,27,13,10,2,4,3,38,10,1,75,79,
11/16/2025,="1345",1,36,31,10,9,2,0,0,41,16,2,84,55,
11/16/2025,="1400",1,34,28,7,13,7,1,2,27,16,1,71,64,
11/16/2025,="1415",1,25,16,9,16,6,5,1,30,15,0,85,69,
11/16/2025,="1430",1,32,24,6,8,4,3,0,68,10,0,81,52,
11/16/2025,="1445",1,26,21,5,11,6,0,0,63,14,6,79,60,
11/16/2025,="1500",1,10,17,5,10,5,2,3,73,14,8,62,61,
11/16/2025,="1515",1,42,20,3,10,5,4,2,68,13,11,87,47,
11/16/2025,="1530",1,29,12,0,7,4,0,1,67,12,1,92,47,
11/16/2025,="1545",1,42,18,0,5,5,1,10,53,6,1,82,62,
11/16/2025,="1600",1,23,12,2,7,4,8,18,54,10,1,92,59,
11/16/2025,="1615",1,22,14,2,4,2,4,30,75,14,0,74,54,
11/16/2025,="1630",1,32,19,1,13,2,6,0,90,4,2,91,78,
11/16/2025,="1645",1,22,18,4,24,8,0,3,122,1,1,116,58,
11/16/2025,="1700",1,33,22,9,8,5,1,1,95,6,1,102,58,
11/16/2025,="1715",1,30,14,4,4,7,6,1,104,6,1,132,52,
11/16/2025,="1730",1,30,30,3,2,4,19,0,64,9,1,105,39,
11/16/2025,="1745",1,13,31,2,2,6,26,2,44,8,2,133,59,
11/16/2025,="1800",1,20,20,4,2,4,21,0,55,12,0,1,45,
11/16/2025,="1815",1,9,19,6,1,3,23,0,30,11,0,0,22,
11/16/2025,="1830",1,7,24,4,5,5,34,1,50,8,0,0,41,
11/16/2025,="1845",1,9,15,7,3,13,17,1,60,15,0,0,27,
11/16/2025,="1900",1,15,12,10,3,5,20,1,43,9,0,2,20,
11/16/2025,="1915",1,15,12,4,1,7,23,0,52,10,1,2,42,
11/16/2025,="1930",1,8,13,6,0,3,13,2,52,11,0,1,36,
11/16/2025,="1945",1,10,8,5,3,5,14,0,30,4,0,1,31,
11/16/2025,="2000",1,9,12,4,4,2,26,0,26,6,0,2,27,
11/16/2025,="2015",1,7,6,5,3,4,7,0,28,7,0,0,28,
11/16/2025,="2030",1,8,13,5,5,3,11,1,18,5,0,1,33,
11/16/2025,="2045",1,9,7,1,0,6,20,1,14,3,0,3,25,
11/16/2025,="2100",1,3,5,2,1,0,8,1,16,3,0,2,21,
11/16/2025,="2115",1,2,8,5,0,4,8,0,24,5,0,1,20,
11/16/2025,="2130",1,5,5,1,0,3,10,0,12,3,0,0,11,
11/16/2025,="2145",1,4,8,3,0,2,8,0,10,1,0,0,20,
11/16/2025,="2200",1,5,5,4,0,1,5,0,17,3,0,0,15,
11/16/2025,="2215",1,7,2,0,0,1,12,1,12,3,0,1,12,
11/16/2025,="2230",1,1,0,1,1,0,4,0,5,1,0,0,6,
11/16/2025,="2245",1,4,3,1,2,0,11,0,3,3,0,0,12,
11/16/2025,="2300",1,3,1,0,1,0,6,0,6,2,0,0,6,
11/16/2025,="2315",1,3,3,2,0,0,4,0,10,1,0,0,5,
11/16/2025,="2330",1,3,2,2,0,0,1,0,6,1,0,0,5,
11/16/2025,="2345",1,0,0,2,0,0,0,0,6,0,0,0,1,
11/17/2025,="0000",1,4,2,1,0,0,2,0,6,3,0,1,8,
11/17/2025,="0015",1,4,1,2,0,0,1,0,4,1,0,0,3,
11/17/2025,="0030",1,4,0,0,0,0,1,0,3,4,0,0,9,
11/17/2025,="0045",1,0,0,1,0,0,0,0,1,0,0,0,0,
11/17/2025,="0100",1,1,0,0,0,0,1,0,0,0,0,0,2,
11/17/2025,="0115",1,0,0,0,0,0,0,0,0,0,0,0,1,
11/17/2025,="0130",1,0,0,0,0,0,2,0,0,2,0,0,0,
11/17/2025,="0145",1,0,0,1,0,0,1,0,1,0,0,0,3,
11/17/2025,="0200",1,0,0,0,0,0,0,0,0,0,0,0,0,
11/17/2025,="0215",1,0,0,0,0,0,1,0,0,0,0,0,4,
11/17/2025,="0230",1,0,0,0,0,0,0,0,0,2,0,0,1,
11/17/2025,="0245",1,1,0,0,0,0,0,0,0,0,0,0,0,
11/17/2025,="0300",1,1,0,0,0,0,2,0,0,0,0,0,2,
11/17/2025,="0315",1,0,0,0,0,0,2,0,0,0,0,0,5,
11/17/2025,="0330",1,0,0,0,0,0,1,0,0,1,0,2,1,
11/17/2025,="0345",1,1,0,2,0,0,0,0,5,1,0,0,3,
11/17/2025,="0400",1,0,1,1,0,0,1,0,1,0,0,0,8,
11/17/2025,="0415",1,0,1,1,0,0,2,0,6,0,0,1,6,
11/17/2025,="0430",1,1,1,2,0,0,8,0,7,4,0,1,9,
11/17/2025,="0445",1,4,1,4,0,0,5,0,3,3,0,2,11,
11/17/2025,="0500",1,6,1,1,0,0,4,0,6,1,0,23,10,
11/17/2025,="0515",1,7,2,4,0,0,7,0,17,4,0,30,15,
11/17/2025,="0530",1,7,2,5,0,0,12,0,11,7,2,38,15,
11/17/2025,="0545",1,5,1,4,0,0,15,0,15,7,1,49,21,
11/17/2025,="0600",1,3,2,5,0,1,11,0,15,10,0,62,18,
11/17/2025,="0615",1,5,13,5,0,1,12,0,19,5,0,65,37,
11/17/2025,="0630",1,7,28,4,0,0,11,1,32,11,1,55,31,
11/17/2025,="0645",1,56,60,2,0,1,6,0,44,4,0,88,34,
11/17/2025,="0700",1,93,57,10,1,7,0,1,103,2,0,89,32,
11/17/2025,="0715",1,102,52,4,4,5,1,0,96,1,0,107,54,
11/17/2025,="0730",1,117,75,14,8,9,4,1,108,9,0,73,71,
11/17/2025,="0745",1,126,79,28,8,7,3,0,96,7,2,62,77,
11/17/2025,="0800",1,125,65,14,8,9,1,1,99,3,0,65,51,
11/17/2025,="0815",1,109,98,20,10,0,3,1,79,4,1,67,64,
11/17/2025,="0830",1,97,63,27,10,5,2,1,88,2,0,89,42,
11/17/2025,="0845",1,78,46,32,6,4,3,2,56,3,0,73,73,
11/17/2025,="0900",1,57,36,20,5,3,2,0,38,2,3,82,66,
11/17/2025,="0915",1,62,28,36,4,4,4,0,52,6,1,46,60,
11/17/2025,="0930",1,55,23,31,8,4,4,0,51,8,2,74,58,
11/17/2025,="0945",1,40,27,36,9,3,2,2,54,9,9,58,69,
11/17/2025,="1000",1,40,24,34,12,7,3,1,49,11,18,41,80,
11/17/2025,="1015",1,47,23,20,9,6,1,2,60,21,10,58,51,
11/17/2025,="1030",1,49,24,22,10,3,2,2,57,10,8,68,67,
11/17/2025,="1045",1,50,13,22,11,3,3,3,64,5,7,68,77,
11/17/2025,="1100",1,41,13,18,12,7,1,2,73,12,22,56,65,
11/17/2025,="1115",1,55,19,14,10,8,3,3,63,11,25,92,52,
11/17/2025,="1130",1,52,21,18,13,6,5,3,70,8,5,88,56,
11/17/2025,="1145",1,76,34,17,7,10,4,2,58,10,7,97,68,
11/17/2025,="1200",1,55,22,17,19,5,6,4,62,15,3,91,70,
11/17/2025,="1215",1,44,32,25,18,6,5,2,68,11,14,81,55,
11/17/2025,="1230",1,61,27,15,14,9,5,2,49,12,10,116,65,
11/17/2025,="1245",1,62,27,19,11,11,3,4,71,7,4,82,61,
11/17/2025,="1300",1,51,23,16,4,10,4,1,51,6,2,113,56,
11/17/2025,="1315",1,47,17,14,10,4,3,1,133,10,3,98,58,
11/17/2025,="1330",1,48,23,17,13,8,4,5,98,21,2,86,62,
11/17/2025,="1345",1,46,29,20,14,6,0,0,108,17,14,79,37,
11/17/2025,="1400",1,37,25,14,17,3,7,2,97,11,70,105,59,
11/17/2025,="1415",1,42,28,8,14,7,1,1,68,15,102,63,67,
11/17/2025,="1430",1,25,21,7,7,5,3,1,79,20,42,82,73,
11/17/2025,="1445",1,42,34,7,14,3,3,1,109,25,71,88,58,
11/17/2025,="1500",1,44,35,2,7,4,6,0,106,31,54,73,55,
11/17/2025,="1515",1,42,44,2,11,13,3,3,69,20,115,58,97,
11/17/2025,="1530",1,47,29,3,16,13,4,6,109,22,63,105,51,
11/17/2025,="1545",1,43,53,11,9,8,2,1,108,29,36,115,53,
11/17/2025,="1600",1,38,50,0,14,9,4,27,108,38,22,22,86,
11/17/2025,="1615",1,36,25,1,31,8,4,12,117,73,3,58,100,
11/17/2025,="1630",1,39,47,1,41,17,0,2,141,46,1,91,80,
11/17/2025,="1645",1,40,42,13,28,13,2,0,187,47,6,78,67,
11/17/2025,="1700",1,32,44,11,19,16,4,0,151,35,0,118,67,
11/17/2025,="1715",1,46,57,4,12,10,29,2,71,54,4,73,57,
11/17/2025,="1730",1,17,39,1,2,6,21,0,86,38,12,88,51,
11/17/2025,="1745",1,10,44,1,0,8,13,2,49,22,0,93,85,
11/17/2025,="1800",1,16,35,2,2,16,20,2,67,31,1,2,46,
11/17/2025,="1815",1,18,28,3,4,5,24,2,66,9,0,0,26,
11/17/2025,="1830",1,19,24,1,3,6,16,1,51,15,0,2,28,
11/17/2025,="1845",1,22,27,3,2,7,27,1,61,12,0,1,43,
11/17/2025,="1900",1,8,21,3,0,5,29,1,38,16,0,3,44,
11/17/2025,="1915",1,15,14,1,3,5,9,1,45,10,1,2,24,
11/17/2025,="1930",1,4,16,5,5,6,14,1,46,12,0,2,34,
11/17/2025,="1945",1,13,18,3,1,7,18,2,30,11,1,3,31,
11/17/2025,="2000",1,4,10,6,5,4,18,0,43,15,0,0,40,
11/17/2025,="2015",1,4,13,1,3,2,18,1,24,7,0,1,38,
11/17/2025,="2030",1,13,11,5,2,2,15,0,47,7,1,0,23,
11/17/2025,="2045",1,10,14,3,2,0,18,0,30,4,0,3,22,
11/17/2025,="2100",1,7,11,2,3,1,13,0,22,2,0,1,24,
11/17/2025,="2115",1,6,9,0,5,2,12,2,22,4,0,3,24,
11/17/2025,="2130",1,5,3,3,2,4,8,0,21,5,0,2,25,
11/17/2025,="2145",1,4,3,2,0,1,9,0,10,1,0,1,29,
11/17/2025,="2200",1,2,6,1,2,1,8,0,10,4,0,1,9,
11/17/2025,="2215",1,2,8,0,2,1,5,0,8,0,0,1,14,
11/17/2025,="2230",1,2,2,0,0,0,10,0,15,1,0,0,12,
11/17/2025,="2245",1,2,4,0,2,0,10,0,8,1,0,0,13,
11/17/2025,="2300",1,2,2,2,0,2,4,1,3,0,0,1,7,
11/17/2025,="2315",1,2,4,2,0,1,0,0,5,3,0,1,3,
11/17/2025,="2330",1,1,0,1,0,0,2,0,4,0,0,1,5,
11/17/2025,="2345",1,0,1,4,1,0,1,0,2,0,0,0,3,
11/18/2025,="0000",1,1,1,0,0,0,0,0,4,0,0,1,7,
11/18/2025,="0015",1,2,1,1,0,0,1,0,0,1,0,0,8,
11/18/2025,="0030",1,1,0,5,0,0,1,0,0,0,0,0,1,
11/18/2025,="0045",1,0,0,3,0,0,0,0,1,0,0,1,1,
11/18/2025,="0100",1,0,0,3,0,0,1,0,0,0,1,1,2,
11/18/2025,="0115",1,0,0,1,0,0,3,0,3,0,1,0,4,
11/18/2025,="0130",1,0,0,3,0,0,2,0,4,1,0,0,2,
11/18/2025,="0145",1,2,0,0,0,0,3,0,0,0,0,0,2,
11/18/2025,="0200",1,0,0,1,0,0,1,0,0,0,1,0,0,
11/18/2025,="0215",1,0,0,1,0,0,1,0,1,0,0,0,1,
11/18/2025,="0230",1,0,0,1,0,0,0,0,0,1,0,0,4,
