INTID,hour,total_volume,los_score,LOS
1,2025-11-16 00:00:00,125.0,1,A
1,2025-11-16 01:00:00,69.0,1,A
1,2025-11-16 02:00:00,41.0,1,A
1,2025-11-16 03:00:00,30.0,1,A
1,2025-11-16 04:00:00,50.0,1,A
1,2025-11-16 05:00:00,149.0,1,A
1,2025-11-16 06:00:00,243.0,1,A
1,2025-11-16 07:00:00,504.0,1,A
1,2025-11-16 08:00:00,911.0,1,A
1,2025-11-16 09:00:00,1100.0,1,A
1,2025-11-16 10:00:00,1034.0,1,A
1,2025-11-16 11:00:00,1208.0,1,A
1,2025-11-16 12:00:00,1273.0,1,A
1,2025-11-16 13:00:00,1179.0,1,A
1,2025-11-16 14:00:00,1127.0,1,A
1,2025-11-16 15:00:00,1139.0,1,A
1,2025-11-16 16:00:00,1300.0,1,A
1,2025-11-16 17:00:00,1336.0,1,A
1,2025-11-16 18:00:00,654.0,1,A
1,2025-11-16 19:00:00,565.0,1,A
1,2025-11-16 20:00:00,405.0,1,A
1,2025-11-16 21:00:00,245.0,1,A
1,2025-11-16 22:00:00,164.0,1,A
1,2025-11-16 23:00:00,82.0,1,A
1,2025-11-17 00:00:00,66.0,1,A
1,2025-11-17 01:00:00,15.0,1,A
1,2025-11-17 02:00:00,9.0,1,A
1,2025-11-17 03:00:00,29.0,1,A
1,2025-11-17 04:00:00,95.0,1,A
1,2025-11-17 05:00:00,355.0,1,A
1,2025-11-17 06:00:00,765.0,1,A
1,2025-11-17 07:00:00,1805.0,1,A
1,2025-11-17 08:00:00,1699.0,1,A
1,2025-11-17 09:00:00,1253.0,1,A
1,2025-11-17 10:00:00,1276.0,1,A
1,2025-11-17 11:00:00,1412.0,1,A
1,2025-11-17 12:00:00,1477.0,1,A
1,2025-11-17 13:00:00,1492.0,1,A
1,2025-11-17 14:00:00,1683.0,1,A
1,2025-11-17 15:00:00,1830.0,1,A
1,2025-11-17 16:00:00,1915.0,1,A
1,2025-11-17 17:00:00,1604.0,1,A
1,2025-11-17 18:00:00,797.0,1,A
1,2025-11-17 19:00:00,581.0,1,A
1,2025-11-17 20:00:00,489.0,1,A
1,2025-11-17 21:00:00,313.0,1,A
1,2025-11-17 22:00:00,167.0,1,A
1,2025-11-17 23:00:00,71.0,1,A
1,2025-11-18 00:00:00,42.0,1,A
1,2025-11-18 01:00:00,39.0,1,A
1,2025-11-18 02:00:00,22.0,1,A
1,2025-11-18 03:00:00,31.0,1,A
1,2025-11-18 04:00:00,105.0,1,A
1,2025-11-18 05:00:00,405.0,1,A
1,2025-11-18 06:00:00,877.0,1,A
1,2025-11-18 07:00:00,1955.0,1,A
1,2025-11-18 08:00:00,1956.0,1,A
1,2025-11-18 09:00:00,1770.0,1,A
1,2025-11-18 10:00:00,1660.0,1,A
1,2025-11-18 11:00:00,1663.0,1,A
1,2025-11-18 12:00:00,1941.0,1,A
1,2025-11-18 13:00:00,1785.0,1,A
1,2025-11-18 14:00:00,1586.0,1,A
1,2025-11-18 15:00:00,1513.0,1,A
1,2025-11-18 16:00:00,1908.0,1,A
1,2025-11-18 17:00:00,1741.0,1,A
1,2025-11-18 18:00:00,879.0,1,A
1,2025-11-18 19:00:00,651.0,1,A
1,2025-11-18 20:00:00,579.0,1,A
1,2025-11-18 21:00:00,361.0,1,A
1,2025-11-18 22:00:00,185.0,1,A
1,2025-11-18 23:00:00,82.0,1,A
1,2025-11-19 00:00:00,25.0,1,A
1,2025-11-19 01:00:00,36.0,1,A
1,2025-11-19 02:00:00,26.0,1,A
1,2025-11-19 03:00:00,33.0,1,A
1,2025-11-19 04:00:00,94.0,1,A
1,2025-11-19 05:00:00,357.0,1,A
1,2025-11-19 06:00:00,821.0,1,A
1,2025-11-19 07:00:00,1862.0,1,A
1,2025-11-19 08:00:00,1861.0,1,A
1,2025-11-19 09:00:00,1745.0,1,A
1,2025-11-19 10:00:00,1421.0,1,A
1,2025-11-19 11:00:00,1368.0,1,A
1,2025-11-19 12:00:00,1512.0,1,A
1,2025-11-19 13:00:00,1560.0,1,A
1,2025-11-19 14:00:00,1621.0,1,A
1,2025-11-19 15:00:00,1852.0,1,A
1,2025-11-19 16:00:00,2052.0,1,A
1,2025-11-19 17:00:00,1777.0,1,A
1,2025-11-19 18:00:00,876.0,1,A
1,2025-11-19 19:00:00,710.0,1,A
1,2025-11-19 20:00:00,619.0,1,A
1,2025-11-19 21:00:00,440.0,1,A
1,2025-11-19 22:00:00,270.0,1,A
1,2025-11-19 23:00:00,88.0,1,A
1,2025-11-20 00:00:00,50.0,1,A
1,2025-11-20 01:00:00,62.0,1,A
1,2025-11-20 02:00:00,31.0,1,A
1,2025-11-20 03:00:00,39.0,1,A
1,2025-11-20 04:00:00,112.0,1,A
1,2025-11-20 05:00:00,405.0,1,A
1,2025-11-20 06:00:00,999.0,1,A
1,2025-11-20 07:00:00,1483.0,1,A
1,2025-11-20 08:00:00,1652.0,1,A
1,2025-11-20 09:00:00,1440.0,1,A
1,2025-11-20 10:00:00,1337.0,1,A
1,2025-11-20 11:00:00,1347.0,1,A
1,2025-11-20 12:00:00,1630.0,1,A
1,2025-11-20 13:00:00,1705.0,1,A
1,2025-11-20 14:00:00,1525.0,1,A
1,2025-11-20 15:00:00,1926.0,1,A
1,2025-11-20 16:00:00,1925.0,1,A
1,2025-11-20 17:00:00,1776.0,1,A
1,2025-11-20 18:00:00,1540.0,1,A
1,2025-11-20 19:00:00,1209.0,1,A
1,2025-11-20 20:00:00,791.0,1,A
1,2025-11-20 21:00:00,608.0,1,A
1,2025-11-20 22:00:00,412.0,1,A
1,2025-11-20 23:00:00,213.0,1,A
1,2025-11-21 00:00:00,137.0,1,A
1,2025-11-21 01:00:00,139.0,1,A
1,2025-11-21 02:00:00,117.0,1,A
1,2025-11-21 03:00:00,111.0,1,A
1,2025-11-21 04:00:00,219.0,1,A
1,2025-11-21 05:00:00,621.0,1,A
1,2025-11-21 06:00:00,1044.0,1,A
1,2025-11-21 07:00:00,1578.0,1,A
1,2025-11-21 08:00:00,1467.0,1,A
1,2025-11-21 09:00:00,1288.0,1,A
1,2025-11-21 10:00:00,1315.0,1,A
1,2025-11-21 11:00:00,1433.0,1,A
1,2025-11-21 12:00:00,1445.0,1,A
1,2025-11-21 13:00:00,1484.0,1,A
1,2025-11-21 14:00:00,1754.0,1,A
1,2025-11-21 15:00:00,1869.0,1,A
1,2025-11-21 16:00:00,1864.0,1,A
1,2025-11-21 17:00:00,1579.0,1,A
1,2025-11-21 18:00:00,875.0,1,A
1,2025-11-21 19:00:00,770.0,1,A
1,2025-11-21 20:00:00,650.0,1,A
1,2025-11-21 21:00:00,529.0,1,A
1,2025-11-21 22:00:00,364.0,1,A
1,2025-11-21 23:00:00,193.0,1,A
1,2025-11-22 00:00:00,90.0,1,A
1,2025-11-22 01:00:00,69.0,1,A
1,2025-11-22 02:00:00,54.0,1,A
1,2025-11-22 03:00:00,29.0,1,A
1,2025-11-22 04:00:00,73.0,1,A
1,2025-11-22 05:00:00,193.0,1,A
1,2025-11-22 06:00:00,414.0,1,A
1,2025-11-22 07:00:00,601.0,1,A
1,2025-11-22 08:00:00,855.0,1,A
1,2025-11-22 09:00:00,1290.0,1,A
1,2025-11-22 10:00:00,1573.0,1,A
1,2025-11-22 11:00:00,1582.0,1,A
1,2025-11-22 12:00:00,1805.0,1,A
1,2025-11-22 13:00:00,1727.0,1,A
1,2025-11-22 14:00:00,1613.0,1,A
1,2025-11-22 15:00:00,1534.0,1,A
1,2025-11-22 16:00:00,1560.0,1,A
